chr19	58345178	58353499	1	-
chr8	18391282	18401218	10	+
chr20	44619522	44652233	100	-
chr18	27950966	28177130	1000	-
chr1	243488233	243851079	10000	-
chrX	49551278	49568218	100008586	+
chr14	70581257	70600690	10001	-
chr15	71792638	71818259	10002	+
chr11	90131515	90192894	10003	+
chr16	75693929	75701459	100033411	-
chr22	23971365	23979828	100037417	-
chr11	65044818	65058553	10004	-
chr19	51642553	51646801	100049587	-
chr20	45841721	45857405	10005	-
chr10	26746593	26861087	10006	-
chr5	141991749	142013041	10007	-
chr11	74454841	74467729	10008	-
chrX	120250752	120258398	10009	+
chr16	68636189	68722616	1001	+
chr2	161136908	161236221	10010	+
chr7	75416786	75486299	100101267	-
chr18	35251058	35290245	100101467	-
chrX	49589529	49596827	100101629	+
chr5	140537340	140558252	10011	-
chr6	11537749	11583524	100113407	+
chr12	53962308	53974956	100124700	-
chr19	10304803	10309880	100125288	-
chrX	147909431	147911817	100126270	-
chrX	134540185	134540262	100126302	-
chr14	100875033	100875104	100126315	+
chr22	21652981	21653058	100126318	+
chr10	29602264	29602346	100126327	-
chr11	79402022	79402109	100126333	-
chr5	137647572	137647649	100126343	-
chr8	144394149	144394230	100126351	-
chr6	142133090	142135151	100126572	+
chr5	129748079	129766732	100127206	+
chr8	90958471	90985238	100127983	-
chr1	32361270	32364278	100128071	-
chr15	101732201	101746870	100128108	-
chr6	167975924	167979776	100128124	-
chr6	116494989	116545610	100128327	-
chr20	18809728	18830153	100128496	-
chr7	144183466	144186053	100128553	+
chr19	3539154	3544030	100128569	+
chrX	103880668	103919548	100128594	-
chr2	27070472	27071654	100128731	-
chr14	23099062	23104989	100128908	-
chr14	104800596	104804712	100128927	+
chr1	228510425	228512305	100129094	-
chr6	73223544	73225770	100129128	-
chr11	71878453	71884561	100129216	+
chrX	146814106	146814726	100129239	-
chr9	32551144	32568621	100129250	+
chr1	152719522	152720470	100129271	+
chr2	21123917	21143272	100129278	+
chr13	77661376	77662626	100129307	-
chr12	11171222	11176016	100129361	+
chr9	16203935	16410990	100129385	-
chr17	16786489	16804455	100129396	+
chrX	72938163	72938958	100129407	+
chr3	12514934	12561059	100129480	-
chr7	5426277	5428927	100129484	-
chrX	135118955	135120526	100129515	-
chr6	159760258	159762332	100129518	-
chrX	125320120	125325214	100129520	+
chr19	23075210	23147221	100129543	+
chr4	76214040	76283783	100129583	+
chr8	66946501	66962591	100129654	-
chr9	24542952	24545946	100129669	-
chr16	88939789	88951524	100129697	+
chr5	42756818	42802439	100129792	+
chr13	110456396	110463287	100129836	-
chr19	20535825	20565809	100129842	-
chr1	42785007	42816619	100129924	+
